flag	grade	evidence	checked	declared_in
--seq	ok		2026-09-04	scripts/check_run_registry.py,scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_attention_sink.py,scripts/diag_chat_overhead.py,scripts/diag_depth_init.py,scripts/diag_dtype_map.py,scripts/diag_fp8_precision.py,scripts/diag_gqa_equiv.py,scripts/diag_group_agg.py,scripts/diag_kd_loss.py,scripts/diag_layer_map.py,scripts/diag_p067_teacher.py,scripts/diag_repeat_attn_sim.py,scripts/diag_sdpa_backends.py,scripts/diag_train_repeat.py,scripts/diag_trapping.py,scripts/diag_val_docs.py,scripts/eval_slices.py,scripts/paired_eval.py,tinylm/cli.py
--seq-max	ok		2026-09-04	scripts/eval_bench_suite.py,scripts/eval_korean_bench.py
--shapes	ok		2026-09-04	scripts/diag_int8mm_paths.py
--show-large	ok		2026-09-04	scripts/diag_spam_rate.py
--sink	ok		2026-09-04	scripts/diag_attention_sink.py
--skip-ablation	ok		2026-09-04	scripts/diag_layer_map.py
--snapshot-at	ok		2026-09-04	tinylm/cli.py
--sparse34	exp	3:4 준정형. 표준 경로 전용	2026-09-04	tinylm/cli.py
--spec-only	ok		2026-09-04	scripts/diag_p067_teacher.py
--sql	ok		2026-09-04	scripts/registry.py
--squad	ok		2026-09-04	scripts/diag_common_text.py
--stale	ok		2026-09-04	scripts/check_index_sync.py
--stamp-reuse-min	ok		2026-09-04	scripts/runlog.py
--start	ok		2026-09-04	scripts/wip.py
--steps	ok		2026-09-04	scripts/check_run_registry.py,tinylm/cli.py
--strict	ok		2026-09-04	scripts/dryrun_batch.py
--student	ok		2026-09-04	scripts/diag_kd_loss.py
--suffix	ok		2026-09-04	scripts/diag_val_lang.py,scripts/diag_vocab.py
--sync	ok		2026-09-04	scripts/check_flag_whitelist.py
--tag	ok		2026-09-04	scripts/check_run_registry.py,scripts/check_smoke.py,scripts/diag_dtype_map.py,scripts/diag_group_agg.py,scripts/diag_layer_gates.py,scripts/diag_lrm_values.py,scripts/diag_repeat_attn_sim.py,scripts/diag_val_docs.py,scripts/eval_slices.py,scripts/registry.py,scripts/wandb_sync.py,tinylm/cli.py
--target-train	ok		2026-09-04	scripts/diag_dataset_tokens.py
--target-val	ok		2026-09-04	scripts/diag_dataset_tokens.py
--task	ok		2026-09-04	scripts/diag_bench_overlap.py,scripts/eval_bench_suite.py,scripts/eval_korean_bench.py
--teacher	ok		2026-09-04	scripts/diag_kd_loss.py,scripts/diag_p067_teacher.py
--teacher-dtype	ok		2026-09-04	tinylm/cli.py
--teacher-preset	ok		2026-09-04	scripts/diag_depth_init.py,scripts/diag_layer_gates.py,scripts/diag_repeat_attn_sim.py,scripts/diag_train_repeat.py
--temp	ok		2026-09-04	scripts/diag_kd_loss.py,tinylm/cli.py
--temps	ok		2026-09-04	scripts/probe_prompts.py
--ternary-kernel	ok		2026-09-04	tinylm/cli.py
--ternary-kernel-triton	ok		2026-09-04	tinylm/cli.py
--thr	ok		2026-09-04	scripts/diag_common_text.py
--threads	ok		2026-09-04	scripts/bench_infer.py
--tiny	ok		2026-09-04	tinylm/cli.py
--tok	ok		2026-09-04	scripts/diag_common_text.py,scripts/diag_dataset_tokens.py
--tokenizer-hf	ok		2026-09-04	scripts/common_bpb.py,tinylm/cli.py
--tokens	ok		2026-09-04	scripts/bench_fused_int8.py,scripts/bench_infer.py,scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_attention_sink.py,scripts/diag_bench_overlap.py,scripts/diag_bench_tokens.py,scripts/diag_cache.py,scripts/diag_decode_profile.py,scripts/diag_depth_init.py,scripts/diag_dtype_map.py,scripts/diag_fp8_precision.py,scripts/diag_group_agg.py,scripts/diag_kd_loss.py,scripts/diag_kvcache.py,scripts/diag_layer_gates.py,scripts/diag_layer_map.py,scripts/diag_repeat_attn_sim.py,scripts/diag_sparse34.py,scripts/diag_train_repeat.py,scripts/diag_trapping.py,scripts/diag_val_docs.py,scripts/diag_vocab.py,scripts/eval_bench_suite.py,scripts/eval_korean_bench.py,scripts/eval_slices.py,scripts/mem_runtime.py,scripts/paired_eval.py,scripts/probe_prompts.py,tinylm/cli.py
--tol	ok		2026-09-04	scripts/diag_kvcache.py
--top	ok		2026-09-04	scripts/diag_dataset_quality.py,scripts/diag_val_docs.py
--top-k	ok		2026-09-04	scripts/probe_prompts.py,tinylm/cli.py
--top-unused	ok		2026-09-04	scripts/diag_vocab.py
--train	ok		2026-09-04	scripts/diag_dataset_quality.py,scripts/diag_dataset_tokens.py
--train-repeat	ok		2026-09-04	tinylm/cli.py
--turns	ok		2026-09-04	scripts/diag_chat_overhead.py
--unpack-cache	ok		2026-09-04	scripts/bench_infer.py,scripts/mem_runtime.py
--val	ok		2026-09-04	scripts/diag_dataset_quality.py,scripts/diag_dataset_tokens.py
--verbose	ok		2026-09-04	scripts/check_doc_ownership.py,scripts/check_flag_used.py,scripts/check_flag_whitelist.py,scripts/check_imports.py,scripts/check_index_sync.py
--verify	ok		2026-09-04	scripts/fetch_bench_data.py,scripts/plot_results.py
--vocab	ok		2026-09-04	scripts/diag_kd_loss.py
--vs	ok		2026-09-04	tinylm/cli.py
--wait	ok		2026-09-04	scripts/wip.py
--wandb	ok		2026-09-04	scripts/eval_bench_suite.py
--wandb-project	ok		2026-09-04	scripts/eval_bench_suite.py
--wandb-standalone	ok		2026-09-04	scripts/eval_bench_suite.py
--warn	ok		2026-09-04	scripts/check_spill.py
--window	ok		2026-09-04	scripts/diag_attention_sink.py
--wq-dtype	ok		2026-09-04	tinylm/cli.py
--write	ok		2026-09-04	scripts/label_heldout_controlled.py,scripts/stamp_index_dates.py
--yes	ok		2026-09-04	scripts/cleanup_ckpt.py
